Yta,RAD,PL,D,Kappa,x,y,BV,StickVag
2,1,10,172,1,1,25,0.7385,0
2,1,11,197,1,1,26,1.3888,0
2,1,12,95,1,1,27,0.0068,0
2,1,13,185,1,1,28,0.7706,0
2,2,1,211,0,2,14,0.5014,0
2,2,2,210,0,2,15,1.0886,0
2,2,3,162,0,2,16,-0.0159,0
2,2,4,272,0,2,17,0.6293,0
2,2,5,NA,0,2,20,NA,0
2,2,6,175,0,2,21,0.67,0
2,2,7,139,0,2,22,0.886,0
2,2,8,NA,0,2,23,0.7304,0
2,2,9,197,0,2,24,0.8688,0
2,2,10,126,0,2,25,0.313,0
2,2,11,120,0,2,26,0.9229,0
2,2,12,162,0,2,27,1.2342,0
2,2,13,NA,1,2,28,1.2759,0
2,3,1,NA,0,3,14,NA,0
2,3,2,162,0,3,15,0.327,0
2,3,3,256,0,3,16,0.5322,0
2,3,4,NA,0,3,17,NA,0
2,3,5,239,0,3,20,0.9273,0
2,3,6,NA,0,3,21,NA,0
2,3,7,159,0,3,22,1.0491,0
2,3,8,113,0,3,23,0.7875,0
2,3,9,NA,0,3,24,NA,0
2,3,10,NA,0,3,25,0.0373,0
2,3,11,NA,0,3,26,0.8729,0
2,3,12,NA,0,3,27,0.894,0
2,3,13,261,1,3,28,0.7569,0
2,4,1,NA,0,4,14,-0.0697,0
2,4,2,203,0,4,15,0.6857,0
2,4,3,173,0,4,16,1.5028,0
2,4,4,NA,0,4,17,0.6331,0
2,4,5,212,0,4,20,1.2608,0
2,4,6,106,0,4,21,0.5333,0
2,4,7,170,0,4,22,0.1796,0
2,4,8,191,0,4,23,1.1877,0
2,4,9,NA,0,4,24,1.0297,0
2,4,10,144,0,4,25,-0.7006,0
2,4,11,259,0,4,26,2.0408,0
2,4,12,173,0,4,27,0.1703,0
2,4,13,NA,1,4,28,0.6052,0
2,5,1,181,0,5,14,0.8769,0
2,5,2,189,0,5,15,1.4202,0
2,5,3,159,0,5,16,0.6902,0
2,5,4,276,0,5,17,1.6278,0
2,5,5,199,0,5,20,0.0798,0
2,5,6,203,0,5,21,0.9479,0
2,5,7,NA,0,5,22,0.9968,0
2,5,8,146,0,5,23,0.941,0
2,5,9,52,0,5,24,-0.593,0
2,5,10,NA,0,5,25,0.9885,0
2,5,11,149,0,5,26,0.7194,0
2,5,12,154,0,5,27,1.0584,0
2,5,13,NA,1,5,28,0.8509,0
2,6,1,157,0,6,14,0.3435,0
2,6,2,NA,0,6,15,0.7323,0
2,6,3,156,0,6,16,0.7524,0
2,6,4,146,0,6,17,0.0014,0
2,6,5,116,0,6,20,0.6286,0
2,6,6,97,0,6,21,1.149,0
2,6,7,77,0,6,22,0.4462,0
2,6,8,105,0,6,23,0.5318,0
2,6,9,179,0,6,24,1.0382,0
2,6,10,179,0,6,25,0.7653,0
2,6,11,132,0,6,26,0.0371,0
2,6,12,148,0,6,27,0.9133,0
2,6,13,175,1,6,28,0.3566,0
2,7,1,NA,0,7,14,1.07,0
2,7,2,NA,0,7,15,1.0371,0
2,7,3,NA,0,7,16,-0.1221,0
2,7,4,NA,0,7,17,0.7529,0
2,7,5,110,0,7,20,0.1659,0
2,7,6,117,0,7,21,1.0978,0
2,7,7,171,0,7,22,1.4091,0
2,7,8,139,0,7,23,0.2032,0
2,7,9,102,0,7,24,0.6673,0
2,7,10,143,0,7,25,1.3487,0
2,7,11,110,0,7,26,0.3585,0
2,7,12,164,0,7,27,1.2531,0
2,7,13,169,1,7,28,0.5892,0
2,8,1,206,0,8,14,1.3312,0
2,8,2,NA,0,8,15,0.812,0
2,8,3,110,0,8,16,0.9456,0
2,8,4,213,0,8,17,0.8235,0
2,8,5,NA,0,8,20,-0.0473,0
2,8,6,146,0,8,21,0.7882,0
2,8,7,154,0,8,22,1.4124,0
2,8,8,164,0,8,23,0.7039,0
2,8,9,155,0,8,24,1.022,0
2,8,10,82,0,8,25,-0.081,0
2,8,11,154,0,8,26,0.8207,0
2,8,12,NA,0,8,27,0.679,0
2,8,13,128,1,8,28,0.9139,0
2,9,1,NA,0,9,14,0.932,1
2,9,2,210,0,9,15,1.44,1
2,9,3,198,0,9,16,0.7212,1
2,9,4,199,0,9,17,-0.1584,1
2,9,5,232,0,9,20,1.0918,1
2,9,6,NA,0,9,21,NA,1
2,9,7,153,0,9,22,0.6681,1
2,9,8,166,0,9,23,0.3413,1
2,9,9,182,0,9,24,0.6675,1
2,9,10,151,0,9,25,0.2379,1
2,9,11,154,0,9,26,0.5864,1
2,9,12,161,0,9,27,0.3611,1
2,9,13,132,1,9,28,1.422,1
2,10,1,160,0,10,14,0.5226,0
2,10,2,82,0,10,15,0.3342,0
2,10,3,121,0,10,16,0.5302,0
2,10,4,69,0,10,17,0.3772,0
2,10,5,181,0,10,20,0.8934,0
2,10,6,74,0,10,21,0.199,0
2,10,7,107,0,10,22,0.127,0
2,10,8,87,0,10,23,0.7534,0
2,10,9,120,0,10,24,0.6172,0
2,10,10,NA,0,10,25,0.3942,0
2,10,11,NA,0,10,26,0.5797,0
2,10,12,180,0,10,27,0.6472,0
2,10,13,110,1,10,28,-0.7588,0
2,11,1,106,0,11,14,0.0957,0
2,11,2,156,0,11,15,1.2406,0
2,11,3,205,0,11,16,0.8244,0
2,11,4,112,0,11,17,0.6617,0
2,11,5,279,0,11,20,1.4704,0
2,11,6,185,0,11,21,0.8747,0
2,11,7,156,0,11,22,1.0137,0
2,11,8,162,0,11,23,1.1668,0
2,11,9,176,0,11,24,0.0505,0
2,11,10,134,0,11,25,0.9976,0
2,11,11,NA,0,11,26,1.3122,0
2,11,12,120,0,11,27,-0.0726,0
2,11,13,155,1,11,28,1.3552,0
2,12,1,204,0,12,14,1.4677,0
2,12,2,114,0,12,15,-0.2156,0
2,12,3,169,0,12,16,0.3849,0
2,12,4,204,0,12,17,0.9308,0
2,12,5,NA,0,12,20,-0.084,0
2,12,6,135,0,12,21,0.144,0
2,12,7,94,0,12,22,0.1754,0
2,12,8,202,0,12,23,1.0292,0
2,12,9,NA,0,12,24,0.1796,0
2,12,10,112,0,12,25,0.2726,0
2,12,11,147,0,12,26,0.6334,0
2,12,12,70,0,12,27,0.757,0
2,12,13,72,1,12,28,0.0946,0
2,13,1,161,0,13,14,1.6922,0
2,13,2,NA,0,13,15,0.6807,0
2,13,3,111,0,13,16,0.3348,0
2,13,4,141,0,13,17,0.4122,0
2,13,5,NA,0,13,20,-0.0656,0
2,13,6,147,0,13,21,0.2952,0
2,13,7,178,0,13,22,0.558,0
2,13,8,103,0,13,23,0.5258,0
2,13,9,146,0,13,24,0.8616,0
2,13,10,76,0,13,25,0.6795,0
2,13,11,194,0,13,26,1.1728,0
2,13,12,195,0,13,27,1.3871,0
2,13,13,156,1,13,28,0.4653,0
2,14,1,165,0,14,14,0.8057,0
2,14,2,144,0,14,15,0.5352,0
2,14,3,194,0,14,16,0.9936,0
2,14,4,NA,0,14,17,1.1319,0
2,14,5,282,0,14,20,0.5255,0
2,14,6,209,0,14,21,0.957,0
2,14,7,125,0,14,22,-0.2786,0
2,14,8,NA,0,14,23,-0.806,0
2,14,9,137,0,14,24,0.2492,0
2,14,10,107,0,14,25,0.5377,0
2,14,11,151,0,14,26,0.1034,0
2,14,12,138,0,14,27,0.2013,0
2,14,13,NA,1,14,28,-0.0747,0
2,15,1,95,1,15,14,-0.0623,0
2,15,2,177,1,15,15,0.7894,0
2,15,3,174,1,15,16,1.1697,0
2,15,4,185,1,15,17,0.2153,0
2,15,5,206,1,15,20,0.336,0
2,15,6,NA,1,15,21,-0.1932,0
2,15,7,NA,1,15,22,-0.4446,0
2,15,8,190,1,15,23,0.5049,0
2,15,9,193,1,15,24,0.9223,0
2,15,10,135,1,15,25,-0.2675,0
2,15,11,92,1,15,26,0.3333,0
2,15,12,151,1,15,27,1.3513,0
2,15,13,201,1,15,28,1.7985,0
